Activityid,ProjectName,ActivityExternalReference,ProjectExternalReference,ActivityName,OwnerCaregiverId,CommunityName,StrategicInitiativeName,ItemType,assignment_group_name,description
113,IP - Network and Device Protection (P1),PRJTASK0067034,PRJ0024144,Perform asset discovery and inventory Med Devices and OT assets,7,Technology Protection,Infrastructure Protection,Activity,NULL,
114,IP - Network and Device Protection (P1),PRJTASK0067035,PRJ0024144,Enumerate the types and versions of med devices and OT assets,7,Technology Protection,Infrastructure Protection,Activity,NULL,
115,IP - Network and Device Protection (P1),PRJTASK0067036,PRJ0024144,Check med device / OT assets against known vulnerabilities and track as part of enterprise vulnerability management program,7,Technology Protection,Infrastructure Protection,Activity,NULL,
116,IP - Network and Device Protection (P1),PRJTASK0067037,PRJ0024144,Define med device / OT security standards and guidelines,7,Technology Protection,Infrastructure Protection,Activity,NULL,
117,IP - Network and Device Protection (P1),PRJTASK0067038,PRJ0024144,Update medical device / OT procurement processes to include security testing prior to procurement or production deployment,7,Technology Protection,Infrastructure Protection,Activity,NULL,
118,IP - Network and Device Protection (P1),PRJTASK0067039,PRJ0024144,Update contracting language to require vendors to provide software bill of materials (SBoM) for medical and OT devices,7,Technology Protection,Infrastructure Protection,Activity,NULL,
119,IP - Network and Device Protection (P1),PRJTASK0067040,PRJ0024144,Define list of approved software,7,Technology Protection,Infrastructure Protection,Activity,NULL,
120,IP - Network and Device Protection (P1),PRJTASK0067041,PRJ0024144,Update exception handling process to accommodate software exceptions,7,Technology Protection,Infrastructure Protection,Activity,NULL,
121,IP - Network and Device Protection (P1),PRJTASK0067042,PRJ0024144,Issue tickets / notifications to users of unapproved software,7,Technology Protection,Infrastructure Protection,Activity,NULL,
122,IP - Network and Device Protection (P1),PRJTASK0067043,PRJ0024144,Uninstall instances of unapproved software,7,Technology Protection,Infrastructure Protection,Activity,NULL,
123,IP - Network and Device Protection (P1),PRJTASK0067044,PRJ0024144,"Evaluate, select, and implement an application whitelisting tool, first evaluating existing tools in the portfolio for suitability e.g., Crowdstrike",7,Technology Protection,Infrastructure Protection,Activity,NULL,
124,IP - Network and Device Protection (P1),PRJTASK0067045,PRJ0024144,"Create, deploy, and centrally manage baselines and golden images for all feasible systems e.g., workstations, servers, network appliances, medical devices, OT assets, etc",7,Technology Protection,Infrastructure Protection,Activity,NULL,
125,IP - Network and Device Protection (P1),PRJTASK0067047,PRJ0024144,Provide baselines to TVIM teams identify vulnerabilities and areas for improvement. Define cadence and triggers for reassessment,7,Technology Protection,Infrastructure Protection,Activity,NULL,
126,IP - Network and Device Protection (P1),PRJTASK0067048,PRJ0024144,Cyber Hygiene - Update baselines based on testing results,7,Technology Protection,Infrastructure Protection,Activity,NULL,
127,IP - Network and Device Protection (P1),PRJTASK0067050,PRJ0024144,Identify if current security and infrastructure tool portfolio is capable of creating and monitoring network activity baselines,7,Technology Protection,Infrastructure Protection,Activity,NULL,
128,IP - Network and Device Protection (P1),PRJTASK0067051,PRJ0024144,Select and implement and solution if needed,7,Technology Protection,Infrastructure Protection,Activity,NULL,
129,IP - Network and Device Protection (P1),PRJTASK0067052,PRJ0024144,Create network communication baselines of normal activity,120,Technology Protection,Infrastructure Protection,Activity,NULL,
130,IP - Network and Device Protection (P1),PRJTASK0067053,PRJ0024144,Generate alerts on anomolous behavior and identify trends that can be used to inform capacity planning and resiliency decisions,120,Technology Protection,Infrastructure Protection,Activity,NULL,
131,IP - Network and Device Protection (P1),PRJTASK0067054,PRJ0024144,"Rationalize existing remote access solutions and identify areas for consolidation to reduce costs, operational burden, and increase efficiency",120,Technology Protection,Infrastructure Protection,Activity,NULL,
132,IP - Network and Device Protection (P1),PRJTASK0067055,PRJ0024144,"Identify remote access use cases that utilize non-standard mechanisms (e.g., Third parties, Medical Device, OT, Building Automation and document them and associated controls)",120,Technology Protection,Infrastructure Protection,Activity,NULL,
133,IP - Network and Device Protection (P1),PRJTASK0067056,PRJ0024144,Identify high-risk remote access use cases that require additional layers of protection or monitoring; design and implement this supplemental control-set,120,Technology Protection,Infrastructure Protection,Activity,NULL,
134,IP - Network and Device Protection (P1),PRJTASK0067057,PRJ0024144,Complete Tufin implementation,120,Technology Protection,Infrastructure Protection,Activity,NULL,
135,IP - Network and Device Protection (P1),PRJTASK0067058,PRJ0024144,Onboard all CCF (including M&A sites) firewalls into Tufin,120,Technology Protection,Infrastructure Protection,Activity,NULL,
136,IP - Network and Device Protection (P1),PRJTASK0067059,PRJ0024144,Integrate Tufin with ServiceNow change management functionality,120,Technology Protection,Infrastructure Protection,Activity,NULL,
163,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128214,PRJ0033114,"Enhance existing risk tiering model by identifying and incorporating additional key inputs (e.g., volume of data shared, etc.)",47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
164,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128215,PRJ0033114,Update processes and procedures to improve compliance with policy mandating that Cybersecurity be involved in assessing third party and supplier relationships prior to contracting,47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
165,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128216,PRJ0033114,Recategorize all existing third parties into enhanced tiers,47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
166,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128217,PRJ0033114,Expand program for recurring assessments beyond Critical and High risk suppliers; establish a risk-based approach for secondary prioritization.,47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
167,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128218,PRJ0033114,"Define third party security requirements based on tiering e.g., SOC 1/2, ISO 27K certification, HITRUST, external pen test, etc. and the required validation period",47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
169,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128220,PRJ0033114,"Update contracting language to include compliance with appropriate cybersecurity standards e.g., vulnerability disclosure, security standards adherence, involvement in recovery or tabletop exercises",47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
170,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128221,PRJ0033114,"Perform monitoring of third party security posture e.g., breaches, PR, etc.",47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
173,TPSRM - Vendor Risk Management Enhancements,PRJTASK0128224,PRJ0033114,Centrally manage vendor remediation plans to track their progress in remediating identified issues,47,Assurance,Third Party / Supplier Risk Management,Activity,NULL,
174,TVI - Bug Bounty,PRJTASK0067793,PRJ0023607,"Define bug bounty program requirements, including SLAs, expected outcomes, metrics, etc",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
175,TVI - Bug Bounty,PRJTASK0067796,PRJ0023607,Define and document processes for ingesting and triaging vulnerabilities from the bug bounty program,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
176,TVI - Bug Bounty,PRJTASK0067798,PRJ0023607,Select and contract a bug bounty service provider,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
177,TVI - Bug Bounty,PRJTASK0067801,PRJ0023607,Regularly measure and report on the performance of the program,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
178,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067097,PRJ0024150,Integrate VMWare Workspace one with ServiceNow Vulnerability Management to centrally store and monitor vulnerabilities on mobile devices,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
179,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067099,PRJ0024150,Define metrics for tracking EOL and vulnerable devices and use them to inform mobile device policy and standards,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
180,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067101,PRJ0024150,Integrate WorkspaceOne with SIEM to enable correlation and centralized alerting on MDM logs,38,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
181,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067103,PRJ0024150,Receive device configuration baselines from Infrastructure team for vulnerability scanning activities,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,Cybersecurity - Attack Surface Reduction,
182,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067105,PRJ0024150,Leverage Tanium to scan and identify devices that deviate from baseline configurations,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
183,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067107,PRJ0024150,Utilize Cyber Hygiene dashboard to track Tanium scanning efforts,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
184,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067109,PRJ0024150,Ensure sensors are deployed to all devices to continuously check for configuration drift,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
185,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067110,PRJ0024150,Implement ServiceNow Vulnerability Module,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
187,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067112,PRJ0024150,"Integrate vulnerability scanning and detection solutions (e.g., Tenable, Workspace One, Ordr, etc) with ServiceNow Vulnerability Management for central management, prioritization, and tracking of vulnerabilities across the organization",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
188,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067113,PRJ0024150,"Utilize ServiceNow to automate the assignment of remediation owners and generation of tickets for notification, as well as tracking of remediation and exceptions.",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
189,GRC - Risk Management and Compliance,PRJTASK0128126,PRJ0033115,"Track unremediated security issues that have been granted exceptions, to ensure the exceptions are revalidated for need and risk",47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
190,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067115,PRJ0024150,"Utilize ServiceNow to automate the collection of metrics such as time to patch, most vulnerable systems, etc. for strategic, operational, and tactical decision making and reporting",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
191,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067116,PRJ0024150,"Utilize expanded BIAs to evaluate and prioritize critical assets (data, facilities, associated technology, etc) and operations (emergency rooms. research, etc.)",27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
192,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067117,PRJ0024150,Perform a threat landscape / adversary evaluation to identify threats that are likely to target the organization's critical assets/operations (both internal and external threat actors),27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
193,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067118,PRJ0024150,Develop prioritized intelligence requirements (beginning with a narrow focus to answer key questions),27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
194,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067119,PRJ0024150,"Develop, document, and implement a process to continuously review, update, add, remove, and reprioritize intelligence requirements based on the changing threat landscape and organizational priorities",27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
195,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067120,PRJ0024150,Identify skills gaps and supplement with additional staff or third parties and required,4,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
196,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067121,PRJ0024150,"Develop a collection management framework, utilizing intelligence requirements to identify necessary information and information sources",27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
197,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067122,PRJ0024150,Rationalize existing intelligence sources and identify gaps in coverage (including both internal and external date/intelligence sources),27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
198,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067123,PRJ0024150,Develop and document analysis processes and procedures,27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
199,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067124,PRJ0024150,"Develop and document intelligence production and dissemination processes and procedures, including what intelligence can be shared externally and by whom",27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
200,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067125,PRJ0024150,Stand up honey pot,27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
201,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067126,PRJ0024150,Stand up malware sandbox,4,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
202,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067127,PRJ0024150,Define and track metrics / KPIs on intelligence,27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
203,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067128,PRJ0024150,Develop and document processes for incorporating intelligence consumer feedback for future intelligence products,27,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
204,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067129,PRJ0024150,"Develop and document a threat hunting process, including tasking, execution, outputs, etc.",32,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
205,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067130,PRJ0024150,"Develop and document process to incorporate lessons learned in to future threat hunts, including missing data sources from the collection management framework",32,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
206,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067131,PRJ0024150,Develop metrics and KPIs for reporting,4,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
207,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067132,PRJ0024150,Utilize identified adversaries/threats as inputs for simulations,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
208,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067133,PRJ0024150,"Develop process for creating adversary simulation scenarios based on relevant objectives, TTPs, rules of engagement, and organizational priorities",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
209,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067134,PRJ0024150,"Develop outputs of simulations for appropriate audiences (i.e., Strategic, operational, and tactical) to facilitate remediation or decision making",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
210,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067135,PRJ0024150,"Develop metrics / KPI for reporting based on simulation objectives e.g., Time to detect/respond/contain",24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
211,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067136,PRJ0024150,Develop a detection and collection management framework to organize securty monitoring objectives and map them to available log sources,33,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
212,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067137,PRJ0024150,Integrate NXLog with Google Chronicle for log ingestion,38,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
213,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067138,PRJ0024150,Migrate existing alerting/correlation rules from QRadar to Google Chronicle,33,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
214,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067139,PRJ0024150,"Utilize the collection management framework to identify and track missing data, necessary to implement required alerting use cases",33,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
215,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067140,PRJ0024150,Perform turning on rules / thresholds to reduce false positives,33,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
216,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067141,PRJ0024150,Define and collect metrics to improve efficiency and assist in decision making,4,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
217,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067142,PRJ0024150,Expand tabletop exercises to include a broad cross-functional team to practice coordination outside of cybersecurity and identify gaps,32,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
218,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067143,PRJ0024150,Utilize the capabilities built in the Adversary Emulation project to develop Purple Team operations and improve detection and response capabilities,24,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,Cybersecurity - Red Team,
219,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067144,PRJ0024150,"Identify additional internal information sharing to improve situational awareness and effectiveness and update processes accordingly e.g., feeding incident related forensics to threat intel team",32,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
220,"TVI - Protection, Threat Triage & Containment (P1)",PRJTASK0067146,PRJ0024150,Define and track IR related metrics to identify areas for improvement,32,Intelligence,"Threat, Vulnerability, & Incident Management",Activity,NULL,
294,Cyber Incident Recovery,PRJTASK0065793,PRJ0017218,Complete rollout of enhanced BIAs and incorporate 3rd party and internal BIA results into resilience requirements,45,Assurance,Business Resilience,Activity,NULL,
295,Cyber Incident Recovery,PRJTASK0064920,PRJ0017218,Define resilience requirements for all critical processes,45,Assurance,Business Resilience,Activity,NULL,
296,Cyber Incident Recovery,PRJTASK0064922,PRJ0017218,"Incorporate defined requirements for critical processes into the existing DR/BC processes, standards, and policies",45,Assurance,Business Resilience,Activity,NULL,
297,Cyber Incident Recovery,PRJTASK0064935,PRJ0017218,"Centrally document and manage resilience requirements, updating on a recurring basis",45,Assurance,Business Resilience,Activity,NULL,
298,Cyber Incident Recovery,PRJTASK0065585,PRJ0017218,Expand coverage of DR/BC plans to all areas of the organization. including M&A sites and ensure they meet policy requirements,45,Assurance,Business Resilience,Activity,NULL,
299,Cyber Incident Recovery,PRJTASK0064939,PRJ0017218,"Develop communications policies, procedures, and guidelines to guide communication decision making during or after a recovery i.e., Who is responsible / authorized to provide information to whom",45,Assurance,Business Resilience,Activity,NULL,
300,Cyber Incident Recovery,PRJTASK0065791,PRJ0017218,Document third party roles and responsibilities in DR/BC plans,45,Assurance,Business Resilience,Activity,NULL,
301,Cyber Incident Recovery,PRJTASK0065582,PRJ0017218,Document and centrally manage dependencies/dependency chains for mission critical processes and associated assets,45,Assurance,Business Resilience,Activity,NULL,
