,Number,Project Name,Project manager,Business case,Description
10,PRJ0034580,(Cyber Only) Precision devices  and software,Mary Ott,"<p style=""margin: 0in; line-height: 107%; font-size: 11pt; font-family: Calibri, sans-serif;""><strong>Executive Summary</strong> | <span style=""color: #404040; font-style: italic;""><span style=""font-size: 9pt; line-height: 107%;"">Please be brief.  2-3 sentences should suffice.</span></span></p>
<p style=""margin: 0in 0in 8pt; line-height: 107%; font-size: 11pt; font-family: Calibri, sans-serif;"">CCF IT is requested to review the software associated with the two instruments (SmART&#43; and X-Rad 320 Xray Irradiators.  This purchase has been coordinated with CC Radiation Safety and has been approved as part of the US Dept of Energy CIRP to replace Cesium irradiators with X-ray technology across the United States.  The purchase has been approved by the highest level of CC Finance.  CC Contract No. 706103 with DOE.  The quote expires on 12/15/2023.  We will lose approximately $400,000 of a discount if this is not executed.  The vendor indicated prices will increase in 2024.  </p>
<p style=""margin: 0in 0in 8pt; line-height: 107%; font-size: 11pt; font-family: Calibri, sans-serif;"">Machines include &#34;remote trouble shooting software&#34;.</p>
<table style=""width: 62.1013%; height: 187.094px;""><tbody><tr style=""height: 24.5469px;""><td style=""width: 33.7277%; height: 21.5469px; background-color: #c2e0f4;""><strong>Request Use Case</strong> (<a href=""https://clevelandclinic.sharepoint.com/:x:/t/ITDIntake2/EUzTSin6pEZBrbtoCdHqOyYB935wyyvhTM5NbdcuSSSRbA?e&#61;b0FOWH&amp;nav&#61;MTVfe0FEQjZGQTExLTE2N0QtNDI2RS1CNzRFLTQ3NzMzOEE4QUU5Rn0"" target=""_blank"" rel=""noopener noreferrer nofollow"">ref</a>)</td><td style=""width: 66.1499%; height: 24.5469px; background-color: #c2e0f4;""><strong><strong>Solution Review </strong></strong><span style=""font-size: 7pt;"">(Solution to problem presented. May NOT include integration; if integration required, use Project or Epic use case. May include connected devices. Includes existing vendor relationships not on file or formally reviewed previously.<span style=""color: rgb(var(--sn-tinymce_content-text,var(--now-form-field--color,var(--now-color_text--primary,var(--now-color--neutral-18,22,27,28)))));"">)</span></span></td></tr><tr style=""height: 51.25px;""><td style=""width: 33.7277%; height: 30.7812px; background-color: #ced4d9;""><strong>Governance</strong> (<a href=""https://clevelandclinic.sharepoint.com/:x:/t/ITDIntake2/ETlT0zWkmURJtOtQfPW16eEB5NqvEJnMVIbonuJ6KXra6g?e&#61;WHglIZ&amp;nav&#61;MTVfezNCQjQ1NjU2LUVDNkItNEM0RC04N0UxLTA5Mzc5Mzk1NjBBM30"" target=""_blank"" rel=""noopener noreferrer nofollow"">ref</a>)</td><td style=""width: 66.1499%; height: 51.25px; background-color: #ced4d9;""> Architectural Review Board (ARB)</td></tr><tr style=""height: 46.1719px;""><td style=""width: 33.7277%; height: 46.1719px;""><strong>IT Ask</strong></td><td style=""width: 66.1499%; height: 46.1719px;"">1. Consultation and approval to procure and activate 2 SmART&#43; machines from vendor called Precision. <br />May <strong>not</strong> include integration.</td></tr><tr style=""height: 65.125px;""><td style=""width: 33.7277%; height: 65.125px;""><strong>Suggested ITD Contributors</strong></td><td style=""width: 66.1499%; height: 65.125px;"">· Cybersecurity<br />· <br />…</td></tr></tbody></table>
<p>A scorecard is <strong>not </strong>required for this use case.</p>","Executive Summary | Please be brief.  2-3 sentences should suffice.
CCF IT is requested to review the software associated with the two instruments (SmART&#43; and X-Rad 320 Xray Irradiators.  This purchase has been coordinated with CC Radiation Safety and has been approved as part of the US Dept of Energy CIRP to replace Cesium irradiators with X-ray technology across the United States.  The purchase has been approved by the highest level of CC Finance.  CC Contract No. 706103 with DOE.  The quote expires on 12/15/2023.  We will lose approximately $400,000 of a discount if this is not executed.  The vendor indicated prices will increase in 2024.  
Machines include &#34;remote trouble shooting software&#34;.
Request Use Case (ref)Solution Review (Solution to problem presented. May NOT include integration; if integration required, use Project or Epic use case. May include connected devices. Includes existing vendor relationships not on file or formally reviewed previously.)Governance (ref) Architectural Review Board (ARB)IT Ask1. Consultation and approval to procure and activate 2 SmART&#43; machines from vendor called Precision. May not include integration.Suggested ITD Contributors· Cybersecurity· …
A scorecard is not required for this use case."
11,PRJ0018582,IP - Secure Remote Access Solution for Device Support Vendors (VPAM),Gareth Parker,"<div>
<div>
<p><strong>Outcomes</strong>​</p>
</div>
<ul style=""list-style-position: inside;""><li>CFO commitment: Secure remote access solution for device support vendors 100% by end of 2021​</li><li>Enhance access control and visibility hardening access requirements for remote vendors​</li><li>Provide a secure service strategy for remote vendor access​</li><li>Enable VPAM capability to 60 CCF vendors in 2021. Extend VPAM capabilities to an additional 40 vendors in 2022</li></ul>
</div>
<p> </p>","Vendors are adopting more modern remote access solutions and refusing to support their products via more traditional options (VPN).  By creating CCF controlled versions of these products we can allow the business to support more vendors and ultimately provide support for a wider range of products and services while doing so in a secure, controlled, and auditable manner."
12,PRJ0024144,IP - Network and Device Protection (P1),Keith Duemling,"<p>Centralize asset management and CMDB functions within ServiceNow</p>
<p>Develop a software asset inventory within ServiceNow</p>
<p>Inventory external information systems, and document them in ServiceNow</p>
<p>Ensure critical business processes are mapped to applications, and their associated infrastructure</p>
<p>Update procurement processes to ensure that future assets are captured in ServiceNow at procurement / contracting</p>
<p>Perform asset discovery and inventory Med Devices and OT assets</p>
<p>Enumerate the types and versions of med devices and OT assets</p>
<p>Check med device / OT assets against known vulnerabilities and track as part of enterprise vulnerability management program</p>
<p>Define med device / OT security standards and guidelines</p>
<p>Update medical device / OT procurement processes to include security testing prior to procurement or production deployment</p>
<p>Update contracting language to require vendors to provide software bill of materials (SBoM) for medical and OT devices</p>
<p>Define list of approved software</p>
<p>Update exception handling process to accommodate software exceptions</p>
<p>Issue tickets / notifications to users of unapproved software</p>
<p>Uninstall instances of unapproved software</p>
<p>Evaluate, select, and implement an application whitelisting tool, first evaluating existing tools in the portfolio for suitability e.g., Crowdstrike</p>
<p>Create, deploy, and centrally manage baselines and golden images for all feasible systems e.g., workstations, servers, network appliances, medical devices, OT assets, etc</p>
<p>Provide baselines to TVIM teams identify vulnerabilities and areas for improvement. Define cadence and triggers for reassessment</p>
<p>Update baselines based on testing results</p>
<p>Identify if current security and infrastructure tool portfolio is capable of creating and monitoring network activity baselines</p>
<p>Select and implement and solution if needed</p>
<p>Create network communication baselines of normal activity</p>
<p>Generate alerts on anomolous behavior and identify trends that can be used to inform capacity planning and resiliency decisions</p>
<p>Rationalize existing remote access solutions and identify areas for consolidation to reduce costs, operational burden, and increase efficiency</p>
<p>Identify remote access use cases that utilize non-standard mechanisms (e.g., Third parties, Medical Device, OT, Building Automation and document them and associated controls)</p>
<p>Identify high-risk remote access use cases that require additional layers of protection or monitoring; design and implement this supplemental control-set</p>
<p>Complete Tufin implementation</p>
<p>Onboard all CCF (including M&amp;A sites) firewalls into Tufin</p>
<p>Integrate Tufin with ServiceNow change management functionality</p>
<p>Automate firewall configuration reviews and  generate tickets for remediation items</p>
<p> </p>","Centralize asset management and CMDB functions within ServiceNow

Develop a software asset inventory within ServiceNow

Inventory external information systems, and document them in ServiceNow

Ensure critical business processes are mapped to applications, and their associated infrastructure

Update procurement processes to ensure that future assets are captured in ServiceNow at procurement / contracting

Perform asset discovery and inventory Med Devices and OT assets

Enumerate the types and versions of med devices and OT assets

Check med device / OT assets against known vulnerabilities and track as part of enterprise vulnerability management program

Define med device / OT security standards and guidelines

Update medical device / OT procurement processes to include security testing prior to procurement or production deployment

Update contracting language to require vendors to provide software bill of materials (SBoM) for medical and OT devices

Define list of approved software

Update exception handling process to accommodate software exceptions

Issue tickets / notifications to users of unapproved software

Uninstall instances of unapproved software

Evaluate, select, and implement an application whitelisting tool, first evaluating existing tools in the portfolio for suitability e.g., Crowdstrike

Create, deploy, and centrally manage baselines and golden images for all feasible systems e.g., workstations, servers, network appliances, medical devices, OT assets, etc

Provide baselines to TVIM teams identify vulnerabilities and areas for improvement. Define cadence and triggers for reassessment

Update baselines based on testing results

Identify if current security and infrastructure tool portfolio is capable of creating and monitoring network activity baselines

Select and implement and solution if needed

Create network communication baselines of normal activity

Generate alerts on anomolous behavior and identify trends that can be used to inform capacity planning and resiliency decisions

Rationalize existing remote access solutions and identify areas for consolidation to reduce costs, operational burden, and increase efficiency

Identify remote access use cases that utilize non-standard mechanisms (e.g., Third parties, Medical Device, OT, Building Automation and document them and associated controls)

Identify high-risk remote access use cases that require additional layers of protection or monitoring; design and implement this supplemental control-set

Complete Tufin implementation

Onboard all CCF (including M&A sites) firewalls into Tufin

Integrate Tufin with ServiceNow change management functionality

Automate firewall configuration reviews and  generate tickets for remediation items"
13,PRJ0033115,GRC - Risk Management and Compliance,Cristina Beck,"<p><strong>ITD Ask: </strong>This is mainly process and documentation related work internal to Cybersecurity.</p>
<p><strong>Priority Score: </strong>16.67</p>
<p><strong>Sizing Score: </strong>68.19</p>
<p><strong>Exception Criteria: </strong></p>
<p>Regulatory: Risk management is a key enterprise function, and these enhancements to the Cybersecurity risk management program are required in order to maintain alignment with several frameworks and the National Cybersecurity Strategy.</p>
<p>Executive Request: The Board of Directors and ERM is requesting additional visibility into Cyber risks and enhancements to the program, including capturing risk appetite as well as better tracking of risk exceptions and issues related to third parties.  With the Board voting to move third party risk to the #1 Cyber risk to the enterprise, this elevates the priority of this work.</p>
<p><strong>Scope:</strong></p>
<ul style=""list-style-position: inside;""><li>Standardize risk management practices (e.g., policy, standards, and procedures for assessing, prioritizing, and communicating risk) throughout the organization, with a focus on maintaining the clinic&#39;s core mission</li><li>Define risk appetite and risk assessment/reporting cadence with input from the Board/leadership</li><li>Standardize controls on an industry standard controls framework(s) e.g., NIST 800-53 and map other necessary frameworks to it as needed for consistency and reportability</li><li>Define methodology and procedures for risk remediation analysis i.e., assessing the costs and benefits of implementing proposed risk remediation plans </li><li>Upload standardized controls, policy, procedures, framework, and methodology to the Integrated Risk Management tool.</li><li>Implement the risk remediation analysis/tracking process, and prioritize remediation plans</li><li>Define, track and report on relevant KPIs for the cybersecurity program</li><li>Track unremediated security issues that have been granted exceptions, to ensure the exceptions are revalidated for need and risk</li></ul>
<p> </p>","ITD Ask: This is mainly process and documentation related work internal to Cybersecurity.
Priority Score: 16.67
Sizing Score: 68.19
Exception Criteria: 
Regulatory: Risk management is a key enterprise function, and these enhancements to the Cybersecurity risk management program are required in order to maintain alignment with several frameworks and the National Cybersecurity Strategy.
Executive Request: The Board of Directors and ERM is requesting additional visibility into Cyber risks and enhancements to the program, including capturing risk appetite as well as better tracking of risk exceptions and issues related to third parties.  With the Board voting to move third party risk to the #1 Cyber risk to the enterprise, this elevates the priority of this work.
Scope:
Standardize risk management practices (e.g., policy, standards, and procedures for assessing, prioritizing, and communicating risk) throughout the organization, with a focus on maintaining the clinic&#39;s core missionDefine risk appetite and risk assessment/reporting cadence with input from the Board/leadershipStandardize controls on an industry standard controls framework(s) e.g., NIST 800-53 and map other necessary frameworks to it as needed for consistency and reportabilityDefine methodology and procedures for risk remediation analysis i.e., assessing the costs and benefits of implementing proposed risk remediation plans Upload standardized controls, policy, procedures, framework, and methodology to the Integrated Risk Management tool.Implement the risk remediation analysis/tracking process, and prioritize remediation plansDefine, track and report on relevant KPIs for the cybersecurity programTrack unremediated security issues that have been granted exceptions, to ensure the exceptions are revalidated for need and risk
 "
14,PRJ0017223,Privileged Access Management,Timothy Brogan,"<p>This is project #3 of 3 that makes up the TRR Program. This project entails reviewing, updating, and managing privileged access requirements, accounts, and processes across enterprise-wide critical-risk and high-risk accounts.</p>","Ransomware attacks hijack accounts, particularly privileged accounts, to spread fast in the environment. Account protections can limit spread, and increase chances of detection before large-scale impact. This 12-month project entails:

0-6 months - Manage privileged access for critical-risk accounts
6-12 months - Manage privileged access for high-risk accounts


"
15,PRJ0024141,CAP - Cybersecurity Training and Awareness (P1),Jason Collins,"<p>Identify and catalogue cyber threats and associated risks caregivers would face on the job, including those from past incidents</p>
<p>Create and deploy training materials based on roles e.g., (including all users, priv users, third parties, executives, IT, info sec,  and physical security staff) and the associated threats/risks</p>
<p>Mandate that all caregivers complete risk-based trainings in order to begin their roles</p>
<p>Integrate HR data &amp; LMS with IAM solution and ticketing system to alert users and their managers of upcoming or overdue training requirements, as well as disable user access after a given period of non-compliance</p>
<p>Track and report on caregiver training compliance by role, department, institute, etc. to identify and remediate issues in the security training program</p>
<p>Implement content refresh cadence to ensure up to date and relevant training is provided based on evolving threat landscape</p>
<p>Identify and catalogue cyber threats and associated risks caregivers would face on the job, as well as emerging threats and industry trends e.g., news articles, CISA / ISAC / Infragard Bulletins, annual tax related scams, etc. </p>
<p>Identify key mediums for communicate with broad groups of users of all types e.g., posters, emails, intranet, etc</p>
<p>Develop awareness campaigns to target broad and narrow audiences depending on specific risks and threats that have been catalogued</p>
<p>Develop a process to quickly create and launch an awareness campaign if an emerging threats warrants it</p>
<p>Develop KPI, capture metrics, and report on them</p>
<p> </p>
<p> </p>
<p> </p>
<p> </p>
<p> </p>
<p> </p>
<p> </p>","Identify and catalogue cyber threats and associated risks caregivers would face on the job, including those from past incidents

Create and deploy training materials based on roles e.g., (including all users, priv users, third parties, executives, IT, info sec,  and physical security staff) and the associated threats/risks

Mandate that all caregivers complete risk-based trainings in order to begin their roles

Integrate HR data & LMS with IAM solution and ticketing system to alert users and their managers of upcoming or overdue training requirements, as well as disable user access after a given period of non-compliance

Track and report on caregiver training compliance by role, department, institute, etc. to identify and remediate issues in the security training program

Implement content refresh cadence to ensure up to date and relevant training is provided based on evolving threat landscape

Identify and catalogue cyber threats and associated risks caregivers would face on the job, as well as emerging threats and industry trends e.g., news articles, CISA / ISAC / Infragard Bulletins, annual tax related scams, etc. 

Identify key mediums for communicate with broad groups of users of all types e.g., posters, emails, intranet, etc

Develop awareness campaigns to target broad and narrow audiences depending on specific risks and threats that have been catalogued

Develop a process to quickly create and launch an awareness campaign if an emerging threats warrants it

Develop KPI, capture metrics, and report on them"
16,PRJ0033114,TPSRM - Vendor Risk Management Enhancements,Cristina Beck,"<p><strong>ITD Ask: </strong>This is mainly process and documentation related work internal to Cybersecurity. The exception is potential integration work to bring vendor data into ServiceNow from Ivalua or another identified source of truth for vendor data.</p>
<p><strong>Priority Score: </strong>21.67</p>
<p><strong>Sizing Score: </strong>68.19</p>
<p><strong>Exception Criteria: </strong></p>
<p>Regulatory: With third party risk being elevated to the #1 Cyber Risk to the enterprise as agreed to by the Board, and several frameworks identifying key controls which need to be in place to manage third party relationships, the scope of work below needs to be completed to (a) mitigate third party risks and (b) align with regulatory frameworks and the National Cybersecurity Strategy.</p>
<p>Executive Request: Don Sinko, Rohit Chandra, and Vugar Zeynalov are assembling a cross-functional team to address third party risk as this has now moved to the #1 Cyber risk to the enterprise. The Board has also agreed that third party risk management must be a top priority for the organization.</p>
<p><strong>Scope:</strong></p>
<ul style=""list-style-position: inside;""><li style=""text-align: left;"">Enhance existing risk tiering model by identifying and incorporating additional key inputs (e.g., volume of data shared, etc.)</li><li style=""text-align: left;"">Update processes and procedures to improve compliance with policy mandating that Cybersecurity be involved in assessing third party and supplier relationships prior to contracting</li><li style=""text-align: left;"">Recategorize all existing third parties into enhanced tiers</li><li style=""text-align: left;"">Expand program for recurring assessments beyond Critical and High risk suppliers; establish a risk-based approach for secondary prioritization.</li><li style=""text-align: left;"">Define third party security requirements based on tiering e.g., SOC 1/2, ISO 27K certification, HITRUST, external pen test, etc. and the required validation period</li><li style=""text-align: left;"">Integrate VRM system with Ivalua (or other identified vendor source of truth) to automate the importing and tracking of third parties, including termination of relationships</li><li style=""text-align: left;"">Update contracting language to include compliance with appropriate cybersecurity standards e.g., vulnerability disclosure, security standards adherence, involvement in recovery or tabletop exercises</li><li style=""text-align: left;"">Perform monitoring of third party security posture e.g., breaches, PR, etc.</li><li style=""text-align: left;"">Incorporate third parties into DR/BC planning, including exercises</li><li style=""text-align: left;"">Define metrics and track and report on third party adherence to commitments</li><li style=""text-align: left;"">Centrally manage vendor remediation plans to track their progress in remediating identified issues</li></ul>","ITD Ask: This is mainly process and documentation related work internal to Cybersecurity. The exception is potential integration work to bring vendor data into ServiceNow from Ivalua or another identified source of truth for vendor data.
Priority Score: 21.67
Sizing Score: 68.19
Exception Criteria: 
Regulatory: With third party risk being elevated to the #1 Cyber Risk to the enterprise as agreed to by the Board, and several frameworks identifying key controls which need to be in place to manage third party relationships, the scope of work below needs to be completed to (a) mitigate third party risks and (b) align with regulatory frameworks and the National Cybersecurity Strategy.
Executive Request: Don Sinko, Rohit Chandra, and Vugar Zeynalov are assembling a cross-functional team to address third party risk as this has now moved to the #1 Cyber risk to the enterprise. The Board has also agreed that third party risk management must be a top priority for the organization.
Scope:
Enhance existing risk tiering model by identifying and incorporating additional key inputs (e.g., volume of data shared, etc.)Update processes and procedures to improve compliance with policy mandating that Cybersecurity be involved in assessing third party and supplier relationships prior to contractingRecategorize all existing third parties into enhanced tiersExpand program for recurring assessments beyond Critical and High risk suppliers; establish a risk-based approach for secondary prioritization.Define third party security requirements based on tiering e.g., SOC 1/2, ISO 27K certification, HITRUST, external pen test, etc. and the required validation periodIntegrate VRM system with Ivalua (or other identified vendor source of truth) to automate the importing and tracking of third parties, including termination of relationshipsUpdate contracting language to include compliance with appropriate cybersecurity standards e.g., vulnerability disclosure, security standards adherence, involvement in recovery or tabletop exercisesPerform monitoring of third party security posture e.g., breaches, PR, etc.Incorporate third parties into DR/BC planning, including exercisesDefine metrics and track and report on third party adherence to commitmentsCentrally manage vendor remediation plans to track their progress in remediating identified issues"
17,PRJ0017221,Infrastructure Protections,Clay Anderson,<p>This project Is #2 of 3 projects that make up the TRR Program. This project entails continuous enterprise-wide patch management updates and configurations to CCF devices and software to minimize hacker attack points from known vulnerabilities.</p>,Infrastructure Protections
18,PRJ0023851,IDP -  Deploy BIBO to CCF Empl Provider Offices/Check-in/Check-out area workstations,Maria Roder,"<p><strong>Requested by ITD caregiver.  Demand created to identify assignee to complete Conceptualization (Idea and Governance tabs).</strong></p>
<p> </p>
<p>Cybersecurity has a request from IT leadership to deploy badge readers and BIBO capability to providers&#39; offices across the enterprise. </p>
<p> </p>
<p><strong>ITD ASK:  </strong>Provide ITD Cybersecurity, BRM (as needed), and PM resources to expand the BIBO installation to employed physician offices across the enterprise.</p>
<p><strong>Priority Score:  36.00</strong></p>
<p><strong>Sizing Score:   46.11</strong></p>
<p><strong>Exception Criteria:  </strong></p>
<p>Executive Project / Patient Safety</p>
<p>Physicians are allocated 15 minutes per patient office visit and attempt to complete any charting, orders, med orders during the visit.  They also will chart using laptops or workstations in their offices.  These devices may or may not have BIBO/Imprivata software installed.  Having BIBO on physician office PCs improves charting and documentation efficiency, especially when making changes to orders and med prescriptions.  </p>
<p> </p>
<p> </p>","Requested by ITD caregiver.  Demand created to identify assignee to complete Conceptualization (Idea and Governance tabs).

Cybersecurity has a request from IT leadership to deploy badge readers and BIBO capability to providers' offices across the enterprise. 

ITD ASK:  Provide ITD Cybersecurity, BRM (as needed), and PM resources to expand the BIBO installation to employed physician offices across the enterprise.

Priority Score:  36.00

Sizing Score:   46.11

Exception Criteria:  

Executive Project / Patient Safety

Physicians are allocated 15 minutes per patient office visit and attempt to complete any charting, orders, med orders during the visit.  They also will chart using laptops or workstations in their offices.  These devices may or may not have BIBO/Imprivata software installed.  Having BIBO on physician office PCs improves charting and documentation efficiency, especially when making changes to orders and med prescriptions.  "
19,PRJ0032085,Replacement of MetricStream with ServiceNow Integrated Risk Management (IRM) and Vendor Risk Management (VRM) modules,Michael Krupka,"<ul style=""list-style-position: inside;""><li style=""text-align: center;"">Today, the Cybersecurity Assurance and Enterprise Risk Management (ERM) teams utilize MetricStream for Risk Management activities, including managing IT related risks, Enterprise risks, and Third Party risks.</li></ul>
<p>For the following reasons, the team is considering replacement of MetricStream with ServiceNow&#39;s IRM and VRM modules:</p>
<ul><li>The team has been experiencing stability issues with the MetricStream platform.</li><li>During upgrades of the MetricStream platform, customizations have been lost.</li><li>MetricStream has significantly increased licensing costs (&#43;30% for upcoming renewal)</li><li>Integration of the IRM and VRM modules with other ServiceNow modules already deployed today at CCF provides significant platform benefits</li></ul>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">Please complete items #1-4 in the ServiceNow Description field</span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">1. ITD Ask: Technical support for implementation of two new ServiceNow modules, Integrated Risk Management (IRM) and Vendor Risk Management (VRM)</span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">2. Priority Score: 77.36</span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">3. Sizing Score: 70</span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">4. Exception (if applicable): </span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">     a. Threshold: Patient Safety/Revenue/Regulatory/Executive Request</span></strong></p>
<p style=""margin-right: 0in; margin-left: 0in; font-size: 12pt; font-family: &#39;Times New Roman&#39;, serif;""><strong><span style=""font-size: 10.0pt; font-family: Verdana, sans-serif;"">     b. Complete the Justification Statement – Include a summary by the category associated with the exception request</span></strong></p>
<ul style=""list-style-type: square; margin-bottom: 0in; margin-top: 0px; list-style-position: inside;""><li style=""font-size: 10pt; font-family: Verdana, sans-serif; font-weight: normal;""><strong>Patient Safety – has it been approved by the Patient Safety and Quality Leadership sub-committee? (required)</strong></li><li style=""font-size: 10pt; font-family: Verdana, sans-serif; font-weight: normal;""><strong>Revenue – list the specific revenue impact amount</strong></li><li style=""font-size: 10pt; font-family: Verdana, sans-serif; font-weight: normal;""><strong>Regulatory – list the impact and any associated dates action needed - ServiceNow modules must be implemented by Nov 30, 2023 in order to replicate current functionality provided today by the MetricStream platform. This includes tracking and reporting of enterprise risks, including all vendor risk as well as the effectiveness of the controls put in place to mitigate these risks.</strong></li><li style=""font-size: 10pt; font-family: Verdana, sans-serif; font-weight: normal;""><strong>Executive Request – list the reason and the executive making the request - Don Sinko, Rohit Chandra, Matt Kull, and Vugar Zeynalov are assembling a cross-functional team to address third party risk as this has now moved to the #1 Cyber risk to the enterprise. The Board has also agreed that third party risk management must be a top priority for the organization.</strong></li></ul>","Today, the Cybersecurity Assurance and Enterprise Risk Management (ERM) teams utilize MetricStream for Risk Management activities, including managing IT related risks, Enterprise risks, and Third Party risks.
For the following reasons, the team is considering replacement of MetricStream with ServiceNow&#39;s IRM and VRM modules:
The team has been experiencing stability issues with the MetricStream platform.During upgrades of the MetricStream platform, customizations have been lost.MetricStream has significantly increased licensing costs (&#43;30% for upcoming renewal)Integration of the IRM and VRM modules with other ServiceNow modules already deployed today at CCF provides significant platform benefits
Please complete items #1-4 in the ServiceNow Description field
1. ITD Ask: Technical support for implementation of two new ServiceNow modules, Integrated Risk Management (IRM) and Vendor Risk Management (VRM)
2. Priority Score: 77.36
3. Sizing Score: 70
4. Exception (if applicable): 
     a. Threshold: Patient Safety/Revenue/Regulatory/Executive Request
     b. Complete the Justification Statement – Include a summary by the category associated with the exception request
Patient Safety – has it been approved by the Patient Safety and Quality Leadership sub-committee? (required)Revenue – list the specific revenue impact amountRegulatory – list the impact and any associated dates action needed - ServiceNow modules must be implemented by Nov 30, 2023 in order to replicate current functionality provided today by the MetricStream platform. This includes tracking and reporting of enterprise risks, including all vendor risk as well as the effectiveness of the controls put in place to mitigate these risks.Executive Request – list the reason and the executive making the request - Don Sinko, Rohit Chandra, Matt Kull, and Vugar Zeynalov are assembling a cross-functional team to address third party risk as this has now moved to the #1 Cyber risk to the enterprise. The Board has also agreed that third party risk management must be a top priority for the organization."
20,PRJ0017218,Cyber Incident Recovery,Timothy Brogan,"<p>This project is designed to enable continuity for critical operations and allow practitioners to provide care during and after an outage from a cyber attack. It includes 1) a cyber recovery vault design and implementation component, 2) business recovery playbooks, and 3) testing of the tools and processes developed in #1 and #2.</p>","Enables continuity for critical operations and allow practitioners to provide care during and after an outage from a cyber attack. This 12-month project entails: 

Months 1-6
1) Identify mission essential business services/processes, define requirements for cyber recovery vault, and create incident response capability. 
2) Business continuity planning, recovery playbook design, and cloud recovery requirement definition and architecture 
3) Data vault implementation and cloud platform deployment

Months 6-12
1) Expand business resiliency processes across the enterprise
2) Implement cloud recovery capability
3) Conduct recoverability testing (wargaming) and tabletop exercise to test synchronized IR
"
21,PRJ0023610,AP - Application Security (P1),Kevin Tambascio,"<p>Develop organizational workflows and RACIs</p>
<p>Document and refine processes and procedures</p>
<p>Define and document application security policies and standards</p>
<p>Define, collect, and report on metrics to measure the effectiveness of the application security program</p>","Develop organizational workflows and RACIs
Document and refine processes and procedures
Define and document application security policies and standards
Define, collect, and report on metrics to measure the effectiveness of the application security program
Update application development and deployment processes to include the centralized documenting of exposed web applications and APIs, and the inclusion of appropriate protections before deployment in production
Ensure external facing applications require authentication and authorization that meet industry standards / leading practices
Configure API security and management solution to forward logs to the SIEM
Finalize secure coding & application security standards
Develop procedures to drive efficient and consistent use of secure development tools and methods
Develop and socialize guidance for developers on topics such as code style guides to maintain code quality
Establish mandatory secure coding training and integrate with enterprise LMS for tracking completion by all developers
Implement newly procured Burp Suite Enterprise, and integrate with SDLC pipeline


"
